國語,#genre#
關之琳超突破大尺度演出 港產復仇警匪電影｜血衣天使 (國語) Vengeance Is Mine｜關之琳｜夏文汐｜湯鎮業｜潘震偉｜爾冬升｜國語配音｜8號電影院 HK Movie｜香港電影01｜1988,https://www.youtube.com/watch?v=6zVXPI-Hm7A
黃日華×徐錦江 燃爆復仇怒火 血洗香江｜殲滅行動 (國語) Unusual Revenge｜黃日華｜陳法蓉｜徐錦江｜駱應鈞｜駱達華｜楊玉梅｜國語中字｜電視電影｜8號電影院 HK Movie,https://www.youtube.com/watch?v=9ByO4MjDb7k
武功至尊熱血江湖 正宗師父于占元親授絕學 郭南宏導演｜師父出馬 (國語) The Old Master｜于占元｜雷小虎｜元紅｜吳兆南｜王永生｜國語中字｜8號電影院 HK Movie｜美亞｜1979,https://www.youtube.com/watch?v=ksSTibL0TPM
關秀媚痴戀大作戰！為了倒追鍾鎮濤不惜策劃「必勝官司」？｜BB30 (國語)｜鍾鎮濤｜鄭裕玲｜關秀媚｜陳惠敏｜許紹雄｜ENG／繁CC字幕｜8號電影院 HK Movie｜香港電影01,https://www.youtube.com/watch?v=ELleH2XGwJk
周海媚×方中信主演 民族大義與愛情交織｜危情共舞 (國語) The Last Dance｜周海媚｜方中信｜李國麟｜羅慧娟｜國語中字｜電視電影｜8號電影院 HK Movie,https://www.youtube.com/watch?v=Cfu9YmWyG-8
李修賢 硬撼國際陰謀 林嶺東 執導再現暴力真章｜聖戰風雲 (國語) Undeclared War｜李修賢｜關之琳｜黃光亮｜彼德拉畢斯｜國語中英字幕｜8號電影院 HK Movie｜美亞｜1990,https://www.youtube.com/watch?v=GutHqQZLoI0
永遠懷念《許紹雄》鄭中基✕蔡卓妍 港產最荒誕戀愛錯亂喜劇｜追擊8月15 (國語) Hidden Heroes｜鄭中基｜蔡卓妍｜秦海璐｜黃浩然｜國語中英字幕｜8號電影院 HK Movie｜美亞｜2004,https://www.youtube.com/watch?v=dlXPF8w0eNo
浪漫辦公室戀情 都市愛情小品｜你OK, 我OK (國語) You're OK, I'm OK｜張國強｜羅美薇｜湯鎮業｜吳家麗｜李麗珍｜繁／簡CC字幕｜8號電影院 HK Movie｜香港電影01,https://www.youtube.com/watch?v=NPCDbml7B5M
郭晉安X邵美琪 宿命黑幫悲劇 杜琪峯監製風格鉅獻｜死角 (國語) Dead End｜郭晉安｜邵美琪｜曾江｜駱應鈞｜國語中字｜電視電影｜8號電影院 HK Movie,https://www.youtube.com/watch?v=-nM_AKvsaHI
楊冪突破尺度出演 全盛時期最危險的誘惑｜孤島驚魂 (國語) Mysterious Island｜陳小春｜楊冪｜葉山豪｜蔡淑臻｜國語中英字幕｜8號電影院 HK Movie｜美亞｜奪命孤島,https://www.youtube.com/watch?v=E3uL42Wz7vY
龍形再現 拳破仇影 一場拳風再起的傳奇｜五爪十八翻 (國語) Dragon's Claws｜朱鐵和｜黃正利｜元秋｜劉家勇｜國語中字｜8號電影院 HK Movie｜美亞｜1979,https://www.youtube.com/watch?v=M1JiuLjxQEg
歐陽震華X王喜X佘詩曼 三角情仇血債難償 港產警匪｜熱血狙擊 (國語) The Final Shot｜歐陽震華｜王喜｜佘詩曼｜郭少芸｜唐文龍｜國語中字｜電視電影｜8號電影院 HK Movie,https://www.youtube.com/watch?v=DfEIeuPK7wk
翁虹絕美演出 爆笑諜報喜劇｜太子爺出差 (國語) Freedom Run｜張堅庭｜鄭丹瑞｜李美鳳｜翁虹｜ENG／繁／簡CC字幕｜8號電影院 HK Movie｜香港電影01,https://www.youtube.com/watch?v=beoIfCQqq2A
陳秀雯 吳岱融 超高分好評演技 完美詮釋女法官｜梨花劫 (國語) Shattered Dream｜陳秀雯｜吳岱融｜林其欣｜林家棟｜國語中字｜電視電影｜8號電影院 HK Movie,https://www.youtube.com/watch?v=9kDwkcDweMU
泰迪羅賓在美女環繞的陷阱中識破真相！驚喜連連的港式諜戰經典｜小心間諜 (國語) To Spy With Love｜利智｜陳奕詩｜胡慧中｜ENG／繁／簡CC字幕｜8號電影院HK Movie｜香港電影01,https://www.youtube.com/watch?v=Dphy9RT8MRU
黑獄斷腸歌系列 窺探最黑暗監獄｜黑獄斷腸歌2之無期徒刑 (國語) Chinese Midnight Express II｜吳鎮宇｜容錦昌｜李兆基｜徐錦江｜國語中字｜8號電影院 HK Movie｜美亞,https://www.youtube.com/watch?v=xJup_pfNMsY
許冠傑化身殺人機器 張曼玉 李麗珍 遠赴俄羅斯 日漫《哭泣殺神》改編｜紅場飛龍 (國語) The Dragon From Russia｜霍耀良導演｜國語配音中英字幕｜8號電影院 HK Movie｜美亞,https://www.youtube.com/watch?v=cJPoh7GZgPw
黑幫三兄弟 黃日華經典港產電影｜踏盡江湖路 (國語) The Last Bout｜歐陽震華｜黃日華｜戴志偉｜國語中字｜電視電影｜8號電影院 HK Movie,https://www.youtube.com/watch?v=gS2_HO-33FA
王祖賢 最氣質代表作 80年代女性感情生活｜心動 (國語) Walking Beside Me｜王祖賢｜江顯揚｜石修｜鮑起靜｜鄒世孝｜ENG／繁／簡CC字幕｜8號電影院 HK Movie｜香港電影01,https://www.youtube.com/watch?v=O2MoFqPsrC4
東南亞武俠鉅製 橫掃江湖的國術爭霸戰｜鐵三角 (Triangular Duel)｜郭南宏導演｜燕南希｜聞江龍｜蔡弘｜江南｜華戀｜國語中字｜8號電影院 HK Movie｜美亞,https://www.youtube.com/watch?v=cY-iXki71d0
香港三級暴力經典 女人復仇燃燒黑幫江湖｜虎膽女兒紅 (國語) Widow Warriors｜李美鳳｜恬妞｜惠英紅｜西協美智子｜國語配音｜中英字幕｜8號電影院 HK Movie｜美亞｜1990,https://www.youtube.com/watch?v=j0REx4Qg3cs
港產民初歷史電影 三角愛情 ｜血染黎明 (國語) Fire On Ice｜關禮傑｜周慧敏｜劉秀萍｜鄭家生｜鮑方｜李成昌｜國語中字｜電視電影｜8號電影院 HK Movie,https://www.youtube.com/watch?v=mSDv7SivaxQ
豆瓣超高分好評 鄭則仕笑中帶淚 港式人生百味全嘗｜瀟灑先生 (國語) Mr.Smart｜鄭則仕｜關之琳｜戚美珍｜樓南光｜焦姣｜ENG／繁／簡CC字幕｜8號電影院 HK Movie｜香港電影01,https://www.youtube.com/watch?v=TnRBIIf0yBI
洪金寶 劉家榮 功夫電影神作 一代宗師  高手過招 刀槍決生死⚡⚡⚡｜搏命單刀奪命槍 (國語) Odd Couple｜麥嘉｜梁家仁｜國語配音｜中英字幕｜8號電影院 HK Movie｜美亞,https://www.youtube.com/watch?v=g84P1cnca2A
港產功夫喜劇 超強卡司演員陣容｜八寶奇兵 (國語) They Came to Rob Hong Kong｜石天｜邱淑貞｜吳君如｜曾志偉｜國語配音｜中英字幕｜8號電影院 HK Movie｜美亞｜1989,https://www.youtube.com/watch?v=DH6BrO0gXDI
周潤發主演 方令正執導 豆瓣高分好評文學電影｜郁達夫傳奇 (國語) When Tat Fu Was Young｜周潤發｜霍達華｜金興賢｜國語配音｜8號電影院 HK Movie｜香港電影01｜1988,https://www.youtube.com/watch?v=2YYBywXtUh4
致敬希區考克 港版 驚悚恐怖電影｜後窗驚魂 (國語) Behind the Mask｜林文龍｜李美鳳｜林其欣｜國語中字｜電視電影｜8號電影院 HK Movie,https://www.youtube.com/watch?v=nCyIELaqc9w
張家輝搞笑扮野力作《九龍城寨之圍城》古天樂主演｜中華賭俠 (國語) Conman In Tokyo｜朱茵｜鍾麗緹｜程小東導演｜王晶監製｜國語中英字幕｜8號電影院 HK Movie｜美亞｜2000,https://www.youtube.com/watch?v=j_sW3mNgYLY
劉德華 大時代下的身分迷惘與悲劇 道盡老香港最無奈生存底色 ｜家在香港 (國語) Home At Hong Kong｜朱海玲｜古嘉露｜ENG／繁／簡CC字幕｜8號電影院 HK Movie｜香港電影01,https://www.youtube.com/watch?v=gMzxCgu61IU
戰爭 港產50年代｜夕陽戰士 (國語) The Deserted Warrior｜白彪｜江毅｜陳敏兒｜陳國邦｜國語中字｜電視電影｜8號電影院 HK Movie,https://www.youtube.com/watch?v=qA3wFpriS60
真‧功夫電影 血洗佛門｜少林叛徒 (Rebel of Shaolin)｜林大超導演｜黃家達｜上官靈鳳｜龍君兒｜張翼｜國語中字｜8號電影院 HK Movie｜美亞,https://www.youtube.com/watch?v=851QXmkmIKM
女版 李小龍？女力爆發！經典俠女功夫電影｜師妹出馬 (The Woman Avenger)｜李作楠導演｜夏光莉｜彭剛｜張紀平｜歐立保｜陸一龍｜國語中字｜8號電影院 HK Movie｜美亞,https://www.youtube.com/watch?v=q3_1DGdyNY4
呂頌賢主演 從低谷揮出人生的逆襲拳｜拳王 (國語) A Boxers Story｜呂頌賢｜林敬剛｜杜少津｜劉玉翠｜ENG／繁／簡CC字幕｜8號電影院 HK Movie｜香港電影01,https://www.youtube.com/watch?v=5B3xDBZyZ9I
杜琪峯導演 梁朝偉唯一出演電視電影｜特警90III明日天涯 (國語) The Iron Butterfly III｜梁朝偉｜麥翠嫻｜李子雄｜梁佩玲｜國語中字｜電視電影｜8號電影院 HK Movie,https://www.youtube.com/watch?v=akbRtz_a4wo
